State,Capital,Latitude,Longitude,ManMadeLandmarks,NaturalLandmarks,Nickname,MajorTrade,CulturalAspects,InterestingFact,Clue (from Blooket)
Karnataka,Bengaluru,12.97,77.59,"Mysore Palace, ruins of Hampi","Western Ghats, Jog Falls, Coorg hills",Silicon Valley of India,"IT, sandalwood, coffee, aerospace","Carnatic music, Mysore Dasara",Bengaluru is India's technology capital; Hampi is a UNESCO site,"The boulder-strewn ruins of the ancient city of Hampi and the grand Mysore Palace lie in which state, also known as the 'Silicon Valley of India' for its tech hub Bengaluru?"
Kerala,Thiruvananthapuram,8.52,76.94,Padmanabhaswamy Temple,"Backwaters, Western Ghats, Munnar tea hills, beaches",God's Own Country,"Spices, rubber, tourism, coir","Kathakali dance, Onam festival, houseboats",Has the highest literacy in India; famous backwaters and spices,"Houseboats glide through palm-fringed backwaters in which spice-growing southern state, also lovingly called 'God's Own Country'?"
Madhya Pradesh,Bhopal,23.26,77.41,"Khajuraho temples, Sanchi Stupa","Kanha & Bandhavgarh tiger reserves, Narmada River",Tiger State / Heart of India,"Soybeans, wheat, minerals","Tribal art, temple architecture",Has more tigers than any state; lies at the geographic heart of India,"The intricately carved temples of Khajuraho and the Buddhist Sanchi Stupa stand in which central state, also known as the 'Tiger State' at the very heart of India?"
Maharashtra,Mumbai,19.08,72.88,"Gateway of India, Ajanta & Ellora caves","Western Ghats, Konkan coast",Gateway of India,"Finance, Bollywood films, autos, IT","Bollywood, Ganesh Chaturthi",Mumbai is India's financial capital and the home of Bollywood,"The rock-cut Ajanta and Ellora caves were carved long ago in which state, also home to Mumbai, India's financial capital and the heart of Bollywood?"
Manipur,Imphal,24.82,93.94,Kangla Fort,"Loktak Lake (floating islands), green hills",Jewel of India,"Handloom, agriculture","Manipuri dance, origin of polo",Loktak Lake has floating islands of plants; polo was born here,"Loktak Lake, dotted with floating islands of matted plants, shimmers in which northeastern state, also called the 'Jewel of India,' where the sport of polo was born?"
Meghalaya,Shillong,25.57,91.88,Bioengineered living root bridges,"Cherrapunji & Mawsynram (wettest places), living root bridges",Abode of Clouds,"Coal, limestone, tourism",Khasi matrilineal society,Among the wettest places on Earth; nicknamed the 'Scotland of the East',"Bridges grown from living tree roots cross the streams of Cherrapunji in which state, also known as the 'Abode of Clouds,' one of the wettest places on Earth?"
Mizoram,Aizawl,23.73,92.72,"Solomon's Temple, Aizawl","Blue hills, bamboo forests",Songbird of India,"Bamboo, agriculture",Cheraw bamboo dance,Built on high ridge-tops; one of India's most literate states,"Perched along high ridge-tops above terraced bamboo hills, which northeastern state is also known as the 'Songbird of India'?"
Nagaland,Kohima,25.67,94.11,Kohima War Cemetery,"Forested hills, Dzukou Valley",Land of Festivals,"Agriculture, handicrafts","Hornbill Festival, many tribes",Hosts the colorful Hornbill Festival; site of the WWII Battle of Kohima,"The colorful Hornbill Festival lights up which northeastern state each December, also remembered for the fierce World War II Battle of Kohima?"
Odisha,Bhubaneswar,20.3,85.82,"Konark Sun Temple, Jagannath Temple (Puri)","Chilika Lake (largest brackish lagoon), Bay of Bengal coast",Land of Temples,"Minerals, steel","Odissi dance, Rath Yatra",The Konark Sun Temple is shaped like a giant chariot,"The chariot-shaped Konark Sun Temple and the Jagannath Temple at Puri stand in which coastal state, also known as the 'Land of Temples'?"
Punjab,Chandigarh,30.73,76.78,"Golden Temple (Amritsar), Wagah border","Fertile Indo-Gangetic plains, five rivers",Granary of India / Land of Five Rivers,"Wheat, rice, dairy","Bhangra dance, Sikhism, Baisakhi",Home of the Golden Temple; the breadbasket of India,"The shimmering Golden Temple at Amritsar welcomes pilgrims of all faiths in which state, also known as the 'Land of Five Rivers' and the 'Granary of India'?"
Rajasthan,Jaipur,26.91,75.79,"Hawa Mahal, Amber Fort, City Palaces","Thar Desert, Aravalli Range, Sambhar Salt Lake",Land of Kings,"Tourism, marble, gems, textiles","Forts, camels, folk music",The largest Indian state; Jaipur is the 'Pink City',"Camels cross the sandy Thar Desert past towering hilltop forts in which largest Indian state, also known as the 'Land of Kings' whose 'Pink City' is Jaipur?"
Sikkim,Gangtok,27.33,88.61,Rumtek Monastery,"Kangchenjunga (3rd-highest peak), Himalayas",The Organic State,"Cardamom, tourism, hydropower",Buddhist monasteries,India's first fully organic state; home to Kangchenjunga,"Kangchenjunga, the third-highest mountain on Earth, towers over which tiny Himalayan state, also famous as India's first fully organic state?"
Tamil Nadu,Chennai,13.08,80.27,"Meenakshi Temple (Madurai), Brihadeeswarar Temple","Western & Eastern Ghats, Nilgiri Hills, Marina Beach",Land of Temples / Detroit of India,"Automobiles, textiles, IT","Bharatanatyam dance, Tamil cinema, Pongal",Marina Beach is one of the world's longest; Chennai is the 'Detroit of India',"The towering, sculpture-covered Meenakshi Temple at Madurai rises in which southern state, also known as a 'Land of Temples' whose long Marina Beach lines Chennai?"
Telangana,Hyderabad,17.39,78.49,"Charminar, Golconda Fort","Deccan Plateau, Godavari & Krishna rivers",India's Youngest State,"IT, pharmaceuticals, pearls","Hyderabadi biryani, Bonalu festival",Formed in 2014; famous for the Charminar and Golconda Fort,"The four-arched Charminar and the hilltop Golconda Fort stand in Hyderabad in which state, also famous as India's youngest state, formed in 2014?"
Tripura,Agartala,23.83,91.28,"Ujjayanta Palace, Neermahal water palace","Forested hills, lakes",Land of Fourteen Gods,"Bamboo, rubber, tea",Tribal and Bengali culture,Neermahal is a palace built in the middle of a lake,"The lovely Neermahal palace floats in the middle of a lake in which small northeastern state, also known as the 'Land of Fourteen Gods'?"
Uttar Pradesh,Lucknow,26.85,80.95,"Taj Mahal (Agra), Varanasi ghats",Ganges & Yamuna river plains,Land of the Taj,"Sugarcane, agriculture, leather","Hindu pilgrimage, Awadhi cuisine",Home of the Taj Mahal and holy Varanasi; the most populous state,"The white-marble Taj Mahal at Agra and the holy riverside city of Varanasi both belong to which state, also known as the most populous in all of India?"
Uttarakhand,Dehradun,30.32,78.03,Haridwar & Rishikesh temple towns,"Himalayas, Nanda Devi, Valley of Flowers, Gangotri glacier",Dev Bhoomi (Land of the Gods),"Tourism, hydropower","Hindu pilgrimage, yoga",The sacred Ganges begins here; Rishikesh is the 'yoga capital',"The sacred Ganges River is born from Himalayan glaciers in which state, also known as 'Dev Bhoomi,' the Land of the Gods, home to the yoga town of Rishikesh?"
West Bengal,Kolkata,22.57,88.36,"Victoria Memorial, Howrah Bridge","Sundarbans mangroves, Ganges delta, Darjeeling hills",Cultural Capital of India,"Jute, Darjeeling tea, fish","Durga Puja, Tagore's literature, sweets","Sundarbans tigers, Darjeeling tea, and Kolkata's rich culture","The tiger-filled Sundarbans mangroves and the grand Victoria Memorial in Kolkata belong to which state, also known as the 'Cultural Capital of India'?"
