Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
47,"Hundreds of white Bauhaus buildings line Mediterranean beaches in which Israeli city, known as the country's modern, fun-loving metropolis?",Samarkand,Jaipur,Tel Aviv,Pamukkale,20,3
48,"An ancient palace once crowned a 200-metre rock shaped like a crouching lion at which spot in Sri Lanka, also called Lion Rock?",Sigiriya,Varanasi,Tel Aviv,Bagan,20,1
49,"Calm Phewa Lake mirrors the snowy Annapurna peaks beside which Nepalese city, also the gateway to Himalayan treks?",Wadi Rum,El Nido,George Town,Pokhara,20,4
50,"More than two thousand ancient temples dot a single plain by the Irrawaddy River at which place in Myanmar, famous for its sea of temples?",Yangshuo,Varanasi,Bagan,Cappadocia,20,3
51,"A colorful hillside 'culture village' tumbles toward Haeundae Beach in which South Korean city, also the country's biggest port?",Busan,Yangshuo,Chiang Mai,Jaisalmer,20,1
52,"The tiled domes of the Registan square shine in which Uzbek city, a fabled jewel of the ancient Silk Road?",Samarkand,Abu Dhabi,Chengdu,Pokhara,20,1
53,"Old shophouses covered in street-art murals fill which Malaysian city on Penang Island, also famous for its food?",George Town,Pokhara,Sigiriya,Phuket,20,1
54,"Hidden lagoons nestle among towering limestone cliffs reached only by boat at which spot in the Philippines, on the island of Palawan?",El Nido,Nara,Samarkand,Pamukkale,20,1
55,"A maze-like walled medina holds the world's oldest university in which Moroccan city, also one of the country's ancient imperial cities?",Fez,Luxor,Mombasa,Zanzibar,20,1
56,"Streets and walls painted every shade of blue climb the Rif Mountains in which Moroccan town, also known simply as the 'Blue City'?",Gorée Island,Chefchaouen,Fez,Zanzibar,20,2
57,"The vast Karnak Temple and the Valley of the Kings line the Nile at which Egyptian city, also called the world's greatest open-air museum?",Chefchaouen,Swakopmund,Luxor,Lalibela,20,3
58,"Narrow lanes of Stone Town wind across which Indian Ocean island off Tanzania, also known as the 'Spice Island'?",Zanzibar,Sidi Bou Said,Mombasa,Luxor,20,1
59,"Old Fort Jesus guards the Indian Ocean harbor of which Kenyan city, the country's historic coastal port?",Swakopmund,Mombasa,Sidi Bou Said,Fez,20,2
60,"A warm 'Golden Mile' of beaches stretches along the Indian Ocean in which South African city, also one of its busiest ports?",Zanzibar,Chefchaouen,Swakopmund,Durban,20,4
61,"Eleven churches were carved straight down into solid rock in which Ethiopian highland town, a famous Christian pilgrimage site?",Durban,Fez,Mombasa,Lalibela,20,4
62,German colonial buildings sit where towering Namib dunes meet the Atlantic in which Namibian seaside town?,Gorée Island,Mombasa,Swakopmund,Durban,20,3
63,Blue doors and white walls overlook the sea from which clifftop village near Tunis?,Swakopmund,Gorée Island,Mombasa,Sidi Bou Said,20,4
64,"The somber House of Slaves stands on which small Atlantic island just off Dakar, a powerful place of memory?",Swakopmund,Durban,Gorée Island,Luxor,20,3
65,"Jazz drifts from the historic French Quarter near the mouth of the Mississippi in which U.S. city, also famous for Mardi Gras?",New Orleans,Trinidad,Antigua,Quebec City,20,1
66,"The shiny 'Bean' sculpture and the Willis Tower rise beside Lake Michigan in which U.S. city, also home of the first skyscraper?",Oaxaca,Chicago,Banff,Tulum,20,2
67,"A glittering neon Strip lights up the Mojave Desert in which U.S. city, also famous for its casinos?",Quebec City,Seattle,Antigua,Las Vegas,20,4
68,"The space-age Space Needle towers near Puget Sound and Mount Rainier in which U.S. city, also the home of Starbucks?",Chicago,Antigua,Banff,Seattle,20,4
69,"The grand Château Frontenac overlooks the St. Lawrence in which Canadian city, the only walled city in North America north of Mexico?",Oaxaca,Chicago,New Orleans,Quebec City,20,4
70,"Turquoise Lake Louise shines among the Canadian Rockies near which town, set inside Canada's first national park?",Quebec City,Antigua,Tulum,Banff,20,4
71,"The grand Notre-Dame Basilica stands on an island in the St. Lawrence in which Canadian city, a major French-speaking metropolis?",Las Vegas,Trinidad,Montreal,Seattle,20,3
72,Maya ruins perch on a cliff above turquoise Caribbean water at which Mexican town on the Yucatán coast?,Montreal,Quebec City,New Orleans,Tulum,20,4
73,"Colorful crafts and famous food fill which Mexican city in the Sierra Madre, near the ancient ruins of Monte Albán?",Trinidad,Las Vegas,Oaxaca,New Orleans,20,3
74,"Cobbled streets and colonial ruins sit beneath three volcanoes in which Guatemalan city, the country's former capital?",Oaxaca,Montreal,Trinidad,Antigua,20,4
75,A colonial old town seems frozen in time near the Escambray Mountains in which Cuban city?,Tulum,Banff,Quebec City,Trinidad,20,4
76,Thick stone fortress walls ring a colorful colonial old town on the Caribbean in which Colombian city?,Salvador,Arequipa,Cartagena,Valparaíso,20,3
77,The colorful Pelourinho district beats with Afro-Brazilian music in which Brazilian city on the coast of Bahia?,Mendoza,Valparaíso,Salvador,Bariloche,20,3
78,"Swiss-style chocolate shops sit among Andean lakes in which Argentine town, the heart of the country's lake district?",Salvador,San Pedro de Atacama,Ushuaia,Bariloche,20,4
79,"Ships set off for Antarctica from the Beagle Channel at which Argentine city, often called the southernmost city in the world?",Salvador,Mendoza,Ushuaia,Valparaíso,20,3
80,"Vineyards spread below the Andes near towering Mount Aconcagua at which Argentine city, the country's wine capital?",Bariloche,Cartagena,Mendoza,Arequipa,20,3
81,Colorful houses and old funicular elevators climb steep hills above the Pacific in which Chilean port city?,Salvador,Valparaíso,Ushuaia,Arequipa,20,2
82,"An adobe village is the base for exploring geysers and salt flats in which spot in Chile's Atacama, the driest desert on Earth?",Valparaíso,Cartagena,Mendoza,San Pedro de Atacama,20,4
83,"Buildings of white volcanic stone gleam beneath the El Misti volcano in which Peruvian city, also called the 'White City'?",Mendoza,Salvador,Bariloche,Arequipa,20,4
84,"A bright white colonial old town high in the Andes is which Bolivian city, the country's constitutional capital?",Cartagena,Sucre,Bariloche,Salvador,20,2
85,"High-rise towers line endless surf beaches at Surfers Paradise in which Australian city, also the country's surfing capital?",Hobart,Bora Bora,Rotorua,Gold Coast,20,4
86,"The edgy MONA art museum sits beneath Mount Wellington in which Australian city, the capital of Tasmania?",Gold Coast,Hobart,Rotorua,Bora Bora,20,2
87,"Geysers shoot up and mud pools bubble amid Māori villages in which New Zealand town, set on a steamy geothermal hotspot?",Bora Bora,Hobart,Gold Coast,Rotorua,20,4
88,"Overwater bungalows ring a turquoise lagoon around a volcanic peak at which French Polynesian island, a famous honeymoon paradise?",Bora Bora,Hobart,Rotorua,Gold Coast,20,1
