Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
23,"The rebuilt Royal Castle stands on the Vistula River in Warsaw, the capital of which country?",Poland,Vatican City,Russia,Croatia,20,1
24,"One of the largest castles in the world overlooks the Vltava River and Charles Bridge in Prague, capital of which country?",Italy,Czech Republic,Montenegro,Croatia,20,2
25,"Two old towns, Buda and Pest, are joined across the Danube to form the capital of which country?",Estonia,Iceland,Portugal,Hungary,20,4
26,"The Sistine Chapel and St. Peter's Basilica belong to which walled country, the smallest in the world, inside Rome?",Poland,Slovakia,Vatican City,Spain,20,3
27,"The Little Mermaid statue and Tivoli Gardens sit in Copenhagen, capital of which country linked to Sweden by a bridge?",Romania,Estonia,Russia,Denmark,20,4
28,"Known as the 'Land of a Thousand Lakes,' which country has Helsinki as its Baltic Sea capital?",Croatia,Finland,Poland,Andorra,20,2
29,The enormous Palace of the Parliament and the region of Transylvania belong to which country in the Carpathian Mountains?,Greece,Belarus,Serbia,Romania,20,4
30,"The gold-domed Alexander Nevsky Cathedral stands in Sofia, one of Europe's oldest cities and capital of which Balkan country?",Bulgaria,Czech Republic,Russia,Belgium,20,1
31,"Saint Sophia Cathedral overlooks the Dnieper River in Kyiv, capital of which country, the largest entirely within Europe?",Russia,Denmark,Ukraine,Hungary,20,3
32,"India Gate, the Red Fort, and the Qutub Minar tower stand in New Delhi, the capital of which country?",India,Yemen,Laos,Nepal,20,1
33,"The white-marble Taj Mahal, built as a tomb beside the Yamuna River, draws visitors to which Indian city?",Kyoto,Singapore,Istanbul,Agra,20,4
34,"The Gateway of India arch faces the Arabian Sea in which Indian city, home of the Bollywood film industry?",Istanbul,Xi'an,Mumbai,Singapore,20,3
35,"The Forbidden City palace and the nearby Great Wall belong to Beijing, the capital of which country?",Bahrain,Uzbekistan,Japan,China,20,4
36,The Oriental Pearl Tower rises where the Huangpu meets the Yangtze in which huge Chinese port city?,Shanghai,Agra,Istanbul,Singapore,20,1
37,An underground army of thousands of clay soldiers guards an emperor's tomb near which ancient Chinese city?,Shanghai,Istanbul,Xi'an,Singapore,20,3
38,The Tokyo Skytree and a view of snow-capped Mount Fuji belong to which island country?,Brunei,North Korea,Iran,Japan,20,4
39,The Golden Pavilion and thousands of red torii gates at Fushimi Inari are found in which former capital of Japan?,Mumbai,Kyoto,Shanghai,Singapore,20,2
40,"Mount Everest, the world's tallest mountain, towers over which country whose capital is Kathmandu?",Nepal,Vietnam,Brunei,Bahrain,20,1
41,"The Grand Palace and floating markets on the Chao Phraya River belong to Bangkok, capital of which country?",Thailand,Iran,Japan,Brunei,20,1
42,"The Burj Khalifa, the tallest building on Earth, rises from the desert of Dubai in which country?",Indonesia,United Arab Emirates,China,North Korea,20,2
43,"A rose-colored city carved into desert cliffs, called Petra, lies in which Middle Eastern country?",Bangladesh,Pakistan,Tajikistan,Jordan,20,4
44,"The Western Wall and the nearby Dead Sea, the lowest point on land, are found in which country whose capital is Jerusalem?",Israel,Jordan,Bhutan,India,20,1
45,"Spanning the Bosphorus across both Europe and Asia, which Turkish city holds the Hagia Sophia and the Blue Mosque?",Shanghai,Istanbul,Agra,Kyoto,20,2
46,"Mecca, Islam's holiest city, lies in the desert of which country, the largest in the Arabian Peninsula?",Saudi Arabia,Pakistan,Mongolia,Jordan,20,1
47,"The giant Borobudur temple and more than 17,000 islands belong to which Southeast Asian country?",Kyrgyzstan,Iraq,Indonesia,Georgia,20,3
48,"Angkor Wat, the largest religious monument in the world, rises from the jungle of which country?",Lebanon,Cambodia,Bahrain,Timor-Leste,20,2
49,"Gyeongbokgung Palace and the N Seoul Tower stand on the Han River in Seoul, capital of which country?",Bhutan,Saudi Arabia,South Korea,Bahrain,20,3
50,Thousands of limestone islands rise from Ha Long Bay in which country whose capital is Hanoi?,Cambodia,Vietnam,Myanmar,Japan,20,2
51,"A city that is also its own country, with the Marina Bay Sands and a lion-fish Merlion statue, is called what?",Mumbai,Singapore,Shanghai,Agra,20,2
52,The Badshahi Mosque in Lahore and the great Indus River belong to which country?,Japan,Pakistan,Yemen,Laos,20,2
53,"A teardrop-shaped island in the Indian Ocean, home to the Temple of the Tooth in Kandy, is which country?",Vietnam,Sri Lanka,Yemen,Kyrgyzstan,20,2
54,"Mount Damavand, the highest peak in the Middle East, rises in which country whose capital is Tehran?",Afghanistan,Philippines,United Arab Emirates,Iran,20,4
55,"The Pyramids of Giza and the Great Sphinx stand beside the Nile, the world's longest river, in which country?",Morocco,Central African Republic,Egypt,Ethiopia,20,3
56,"Once home to a great lighthouse that was a Wonder of the Ancient World, which Egyptian port city sits on the Mediterranean?",Kyoto,Alexandria,Toronto,Brisbane,20,2
57,Flat-topped Table Mountain and the Cape of Good Hope rise in which country at Africa's southern tip?,South Africa,Tunisia,Guinea,Algeria,20,1
58,"Built on the world's richest gold deposits, which large South African city sits on the high Highveld plateau?",Johannesburg,Casablanca,Toronto,Xi'an,20,1
59,"Marrakesh, a gateway to the Sahara below the Atlas Mountains, lies in which North African country?",Liberia,Morocco,Zambia,Uganda,20,2
60,The towering Hassan II Mosque rises over the Atlantic Ocean in which Moroccan city?,Casablanca,Perth,Madrid,Sydney,20,1
61,A national park full of wild animals sits right beside Nairobi in which country split by the Great Rift Valley?,Rwanda,Morocco,Madagascar,Kenya,20,4
62,"Mount Kilimanjaro, Africa's tallest mountain, and the Serengeti plains belong to which country?",Eswatini,Benin,Tanzania,South Sudan,20,3
63,"Victoria Falls, one of the world's largest waterfalls on the Zambezi River, is shared by Zimbabwe and which neighbor?",Zambia,Ivory Coast,Burkina Faso,Libya,20,1
64,"The Niger River and the bustling city of Lagos belong to which country, the most populated in Africa?",Nigeria,Somalia,São Tomé and Príncipe,Cape Verde,20,1
65,"Set high in mountain highlands, Addis Ababa is one of the highest capital cities and serves which country?",Ethiopia,Somalia,Libya,Guinea,20,1
66,"The fabled desert trading city of Timbuktu, with its mud mosques, lies in which country on the Niger River?",Mali,Niger,Central African Republic,Djibouti,20,1
67,"The Congo, the world's deepest river, flows past Kinshasa in which large central African country?",Djibouti,Democratic Republic of the Congo,South Africa,Tanzania,20,2
68,"Dakar, the westernmost point of mainland Africa, is the capital of which country?",Senegal,Gambia,Gabon,Egypt,20,1
69,"A giant Indian Ocean island home to lemurs and baobab trees, with capital Antananarivo, is which country?",Madagascar,South Africa,Malawi,Mali,20,1
70,"The White House, the Capitol, and the Washington Monument stand on the Potomac River in which U.S. capital city?","Washington, D.C.",Vancouver,Cancún,New York City,20,1
71,"The Statue of Liberty, a gift from France, welcomes ships into the harbor of which U.S. city on the Hudson River?",San Francisco,Orlando,New York City,Cancún,20,3
72,The orange Golden Gate Bridge spans the bay of which California city?,Cancún,San Francisco,"Washington, D.C.",New York City,20,2
73,"The Hollywood Sign and the San Andreas Fault are found in Los Angeles, in which country?",United States,Saint Lucia,Jamaica,Mexico,20,1
74,The mile-deep Grand Canyon was carved by the Colorado River in which country?,Dominica,United States,Honduras,Nicaragua,20,2
75,Walt Disney World and the nearby Everglades wetlands draw visitors to which Florida city?,Orlando,New York City,Toronto,Cancún,20,1
76,"Parliament Hill sits on the Ottawa River in Ottawa, the capital of which country?",Saint Lucia,Dominican Republic,Bahamas,Canada,20,4
77,The CN Tower rises beside Lake Ontario in which Canadian city?,Toronto,San Francisco,Vancouver,Orlando,20,1
78,A famous thundering waterfall on the Niagara River is shared by the United States and which neighboring country?,Canada,Nicaragua,Saint Lucia,Cuba,20,1
79,"Ringed by the Coast Mountains and the Pacific Ocean, which Canadian city has the Capilano Suspension Bridge?",Vancouver,Orlando,San Francisco,New York City,20,1
80,"Built on the ruins of the Aztec capital, Mexico City is the capital of which country?",Mexico,Dominica,Barbados,El Salvador,20,1
81,The Maya pyramid of Chichén Itzá lies on the Yucatán Peninsula near which Mexican beach city on the Caribbean?,New York City,Orlando,Cancún,Vancouver,20,3
82,"El Morro fortress guards the harbor of Havana, capital of which island nation south of Florida?",Cuba,Dominica,Canada,Barbados,20,1
83,A famous canal linking the Atlantic and Pacific Oceans crosses which Central American country?,Mexico,Saint Lucia,Jamaica,Panama,20,4
84,The towering Maya temples of Tikal rise above the rainforest of which Central American country?,Saint Vincent & Grenadines,Guatemala,Jamaica,Antigua and Barbuda,20,2
85,"Famous for Blue Mountain coffee, which Caribbean island country has Kingston as its capital?",Guatemala,Jamaica,El Salvador,Honduras,20,2
86,The island of Hispaniola is shared by Haiti and which other country?,Dominica,Dominican Republic,Panama,El Salvador,20,2
87,The statue of Christ the Redeemer looks down from Corcovado mountain over Rio de Janeiro in which country?,Guyana,Brazil,Venezuela,Paraguay,20,2
88,"A planned capital laid out in the shape of an airplane, which city is the seat of Brazil's government?",Manaus,Madrid,Brasília,Rome,20,3
89,"Deep in the Amazon rainforest, a grand opera house called the Amazon Theatre stands in which Brazilian river city?",Orlando,Shanghai,Manaus,Kyoto,20,3
90,"Lima, on a desert coast by the Pacific, is the capital of which South American country?",Paraguay,Guyana,Argentina,Peru,20,4
91,The ancient Inca city of Machu Picchu sits high in the Andes near which old Inca capital city?,Cusco,New York City,Shanghai,Pisa,20,1
92,"The tango dance was born in Buenos Aires, the capital of which country on the Río de la Plata?",Venezuela,Bolivia,Argentina,Suriname,20,3
93,"The thundering Iguazú Falls lie on the border of Argentina and which country, home of Rio de Janeiro?",Brazil,Suriname,Peru,Paraguay,20,1
94,"The Atacama, the driest desert on Earth, stretches through which long, thin country whose capital is Santiago?",Peru,Venezuela,Uruguay,Chile,20,4
95,"The world's largest salt flat, Salar de Uyuni, shines white in which high country whose seat of government is La Paz?",Bolivia,Colombia,Venezuela,Paraguay,20,1
96,"High in the Andes, the Gold Museum of Bogotá is found in which country?",Colombia,Uruguay,Peru,Suriname,20,1
97,Quito sits almost exactly on the Equator in which country named after that imaginary line?,Colombia,Ecuador,Guyana,Peru,20,2
98,"The Galápagos Islands, where Charles Darwin studied wildlife, belong to which South American country?",Bolivia,Guyana,Chile,Ecuador,20,4
99,"Angel Falls, the tallest waterfall in the world, plunges from a flat-topped mountain in which country?",Venezuela,Chile,Paraguay,Uruguay,20,1
100,"Montevideo sits where the Río de la Plata meets the Atlantic, as the capital of which small country?",Chile,Uruguay,Colombia,Bolivia,20,2
101,"The purpose-built capital of Canberra, not Sydney, serves which country and continent?",Fiji,Australia,Samoa,Nauru,20,2
102,A famous opera house with a roof like white sails sits on the harbor of which Australian city?,Sydney,Auckland,Cairns,Adelaide,20,1
103,"Home to the giant MCG cricket ground and often called the most liveable city, which Australian city sits on the Yarra River?",Melbourne,Adelaide,Alice Springs,Queenstown,20,1
104,"The Story Bridge crosses the Brisbane River in which Australian city, capital of Queensland?",Alice Springs,Auckland,Sydney,Brisbane,20,4
105,"One of the most isolated big cities on Earth, on the Swan River by the Indian Ocean, is which Australian city?",Queenstown,Perth,Alice Springs,Adelaide,20,2
106,"Known as the 'City of Churches' and near the Barossa wine region, which South Australian city holds the Adelaide Oval?",Alice Springs,Queenstown,Adelaide,Auckland,20,3
107,"The gateway to the Great Barrier Reef, the world's largest coral reef, is which Australian city?",Cairns,Brisbane,Melbourne,Alice Springs,20,1
108,The giant red rock Uluru rises from the Outback near which central Australian town?,Cairns,Alice Springs,Sydney,Brisbane,20,2
109,"Wellington, on the windy Cook Strait, is the capital of which country?",Fiji,New Zealand,Tuvalu,Solomon Islands,20,2
110,"Built on top of dozens of volcanoes, which New Zealand city has the Sky Tower?",Adelaide,Perth,Auckland,Melbourne,20,3
111,"Beside Lake Wakatipu and ringed by mountains called 'The Remarkables,' which New Zealand town loves adventure sports?",Queenstown,Sydney,Alice Springs,Adelaide,20,1
112,"A Pacific nation of more than 300 islands, with capital Suva, is which country?",Fiji,Nauru,Micronesia,Australia,20,1
113,"One of the most culturally diverse countries on Earth, with rugged highlands and capital Port Moresby, is which country?",Palau,Papua New Guinea,Fiji,Tuvalu,20,2
114,"The South Pole and the peak of Vinson Massif lie on which continent, the coldest and driest on Earth?",Greenland,Siberia,Antarctica,The Arctic,20,3
