Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
11,"The active Kilauea volcano keeps erupting in which island state, also famous as the 'Aloha State' of Waikiki surf beaches and the Pearl Harbor naval base?",Hawaii,Virginia,Colorado,Kentucky,20,1
12,"Hells Canyon, a gorge even deeper than the Grand Canyon, slices along the edge of which state, also known as the 'Gem State' famous for growing potatoes?",Minnesota,Idaho,New Jersey,West Virginia,20,2
13,"The world's very first skyscraper rose in Chicago in which state, also known as the 'Land of Lincoln' and home to the towering Willis Tower?",North Dakota,Illinois,Nevada,Delaware,20,2
14,"Hundreds of thousands of fans pack a legendary oval track for the Indianapolis 500 in which state, also known for its basketball-loving people called Hoosiers?",Arizona,North Carolina,Nevada,Indiana,20,4
15,"A baseball diamond carved into a cornfield inspired the movie 'Field of Dreams' in which state, also known as the corn-and-pork 'Hawkeye State' that holds the first presidential caucus?",Iowa,Minnesota,Virginia,Mississippi,20,1
16,"Dorothy's farmhouse was swept away by a twister in 'The Wizard of Oz' in which Tornado Alley state, also known as the flat, wheat-growing 'Sunflower State'?",California,Kansas,Colorado,Maine,20,2
17,"Mammoth Cave, the longest cave system in the world, winds beneath which state, also famous for the Kentucky Derby horse race and the gold vault at Fort Knox?",Kentucky,Arkansas,Virginia,West Virginia,20,1
18,"Jazz music was born in the city of New Orleans in which swampy state, also known as the 'Pelican State' that throws the giant Mardi Gras festival each year?",Montana,Maryland,Louisiana,Washington,20,3
19,"Acadia National Park is among the first places in the country to see the morning sunrise in which northeastern state, also famous for its lobster and rocky lighthouses?",Hawaii,South Dakota,Mississippi,Maine,20,4
20,"The flag flying over Fort McHenry inspired the words of the national anthem in which state, also known for the U.S. Naval Academy and its steamed blue crabs?",Maryland,Maine,Florida,Indiana,20,1
21,"The Pilgrims first stepped ashore at Plymouth Rock in which state, also famous for the Boston Tea Party and Harvard, the oldest college in the country?",Massachusetts,Colorado,North Carolina,Hawaii,20,1
22,"Four of the five Great Lakes wrap around which mitten-shaped state, also known as the 'Motor City' home of Detroit's car factories and Motown music?",Michigan,Florida,Oregon,New Hampshire,20,1
23,"The mighty Mississippi River trickles to life from a small lake in which state, also known as the 'Land of 10,000 Lakes' with its enormous Mall of America?",Montana,Vermont,Minnesota,Mississippi,20,3
24,"The soulful Delta blues was born along the river that shares its name in which Deep South state, also known as the 'Magnolia State' where Elvis Presley was born in Tupelo?",Georgia,Iowa,Mississippi,Idaho,20,3
25,"Pioneer wagon trails such as the Oregon Trail set out westward from which state, also famous for the 630-foot Gateway Arch towering over St. Louis?",Rhode Island,Kentucky,Missouri,Idaho,20,3
26,"The Battle of Little Bighorn, where Custer made his last stand, was fought in which state, also known as 'Big Sky Country' and home to Glacier National Park?",Nevada,Mississippi,Montana,Oklahoma,20,3
27,"Oregon Trail pioneers once steered by the tall stone spire of Chimney Rock across which flat state, also known as the corn-growing 'Cornhusker State'?",Nebraska,Vermont,New Mexico,Oregon,20,1
28,"The secretive military base known as Area 51 hides in the desert of which state, also known as the 'Silver State' that glitters with the neon Las Vegas Strip?",Montana,Connecticut,Nevada,New York,20,3
29,"The nation's very first presidential primary is held every four years in which small state, also known as the 'Granite State' whose bold motto is 'Live Free or Die'?",Indiana,New Jersey,New Hampshire,California,20,3
30,"The streets on the classic Monopoly board were named after the seaside resort of Atlantic City in which state, also known as the crowded yet green 'Garden State'?",South Carolina,Connecticut,Arkansas,New Jersey,20,4
31,"The world's first atomic bomb was secretly tested in the desert of which state, also known as the 'Land of Enchantment' famous for the Roswell UFO legend?",Oklahoma,Connecticut,Mississippi,New Mexico,20,4
32,"Wall Street's stock exchange and the bright lights of Times Square fill the giant city of which state, also famous for the Statue of Liberty and Niagara Falls?",New York,Georgia,South Dakota,Missouri,20,1
33,"The Wright Brothers made the world's first powered airplane flight on the dunes of Kitty Hawk in which 'Tar Heel State', also proud to call itself 'First in Flight'?",North Carolina,Delaware,New Mexico,New York,20,1
34,"The Badlands once roamed by a young Theodore Roosevelt stretch across which state, also known as the wheat-and-oil 'Peace Garden State' sitting on the Canadian border?",Georgia,Maryland,Colorado,North Dakota,20,4
35,"Astronaut Neil Armstrong and the airplane-inventing Wright Brothers were all born in which state, also known as the 'Buckeye State' and home of the Rock & Roll Hall of Fame?",New Mexico,Ohio,Kentucky,Wisconsin,20,2
36,"Settlers who sneaked in early to grab land became known as 'Sooners' in which state, also known for its many Native American nations and historic Route 66?",Mississippi,Oklahoma,North Dakota,Indiana,20,2
37,"Crater Lake, the deepest lake in the country, fills a collapsed volcano in which state, also known as the 'Beaver State' where the Oregon Trail finally ended?",Maryland,Wyoming,North Dakota,Oregon,20,4
38,"The Declaration of Independence was signed in the city of Philadelphia in which state, also famous for the cracked Liberty Bell and Hershey's chocolate?",Hawaii,North Dakota,Pennsylvania,Mississippi,20,3
39,"The grand Gilded Age mansions of Newport line a sparkling bay in which state, also known as the smallest state of all, the 'Ocean State'?",Iowa,South Dakota,Rhode Island,Tennessee,20,3
40,"The very first shots of the Civil War were fired at Fort Sumter in which state, also known as the 'Palmetto State' of historic, cobblestoned Charleston?",Iowa,South Carolina,Wisconsin,Illinois,20,2
41,"The Crazy Horse Memorial and the eerie Badlands lie in which state, also world-famous for the four presidents' faces carved into Mount Rushmore?",New Mexico,Alaska,South Dakota,Louisiana,20,3
42,"Elvis Presley's Graceland mansion draws fans to Memphis in which state, also known as the 'Volunteer State' and the home of country music in Nashville?",New Hampshire,Minnesota,Tennessee,West Virginia,20,3
43,"NASA's astronaut 'Mission Control' is based in Houston in which state, also known as the enormous 'Lone Star State' whose defenders made a last stand at the Alamo?",Iowa,Texas,New Mexico,Connecticut,20,2
44,"The racing-fast Bonneville Salt Flats and the super-salty Great Salt Lake lie in which state, also known as the 'Beehive State' settled by Mormon pioneers?",Utah,New Mexico,South Carolina,Alabama,20,1
45,"The Ben & Jerry's ice-cream factory is a favorite stop in which small New England state, also known as the 'Green Mountain State' that makes the most maple syrup?",Colorado,Texas,Tennessee,Vermont,20,4
46,"Jamestown, the first lasting English colony in America, was founded in which state, also known as the 'Mother of Presidents' and home of the Pentagon?",Nevada,New Mexico,Virginia,Idaho,20,3
47,"Mount St. Helens erupted in a huge blast in 1980 in which state, also known as the 'Evergreen State' home of the Space Needle, Boeing jets, and Starbucks coffee?",New Jersey,Wisconsin,Montana,Washington,20,4
48,"The soaring New River Gorge Bridge arches across which coal-mining state, also known as the 'Mountain State' that split away from Virginia during the Civil War?",West Virginia,Alaska,Florida,Hawaii,20,1
49,"Football fans wear foam 'cheesehead' hats to cheer the Green Bay Packers in which state, also proudly known as 'America's Dairyland'?",Wisconsin,Tennessee,Georgia,South Carolina,20,1
50,"Old Faithful erupts on schedule inside Yellowstone, the world's first national park, in which least-populated state, also famous as the first to let women vote?",Georgia,Oklahoma,Florida,Wyoming,20,4
